Date,ftse_250_Price,ftse_250_Total Return,CPI,ftse_350_Price,"ftse_350_Total Return (Gross, Unhedged)",price_02_Price,"price_02_Total Return (Gross, Unhedged)",confidence_score,confidence_Year,confidence_Month,confidence_Year_Chunk,price_05_Price,"price_05_Total Return (Gross, Unhedged)",price_10_Price,"price_10_Total Return (Gross, Unhedged)",unemployement_rate,wage_growth,GDP
1970-01-01,3370.36010742188,1272.52001953125,,,,,,,,,,,,,,,,-0.6
1970-01-01,3384.13989257812,1279.2099609375,,,,,,,,,,,,,,,,-0.6
1970-01-01,3434.71997070312,1303.91003417969,,,,,,,,,,,,,,,,-0.6
1970-01-01,3530.18994140625,1347.21997070312,,,,,,,,,,,,,,,,-0.6
1970-01-01,3653.82006835938,1397.81994628906,,,,,,,,,,,,,,,,-0.6
1970-01-01,3592.55004882812,1379.96997070312,,,,,,,,,,,,,,,,-0.6
1970-01-01,3825.9599609375,1476.53002929688,,,,,,,,,,,,,,,,-0.6
1970-01-01,3913.419921875,1512.43005371094,,,,,,,,,,,,,,,,-0.6
1970-01-01,3948.77001953125,1533.0,,,,,,,,,,,,,,,,-0.6
1970-01-01,3894.34008789062,1516.85998535156,,,,,,,,,,,,,,,,-0.6
1970-01-01,3959.05004882812,1547.93994140625,,,,,,,,,,,,,,,,-0.6
1970-01-01,4021.34008789062,1580.68005371094,,,,,,,,,,,,,,,,-0.6
1970-01-01,4125.0400390625,1629.51000976562,,,,,,,,,,,,,,,,-0.6
1970-01-01,4215.0400390625,1667.01000976562,,,,,,,,,,,,,,,,-0.6
1970-01-01,4326.740234375,1720.65002441406,,,,,,,,,,,,,,,,-0.6
1970-01-01,4551.7998046875,1821.42004394531,,,,,,,,,,,,,,,,-0.6
1970-01-01,4509.97021484375,1807.5,,,,,,,,,,,,,,,,-0.6
1970-01-01,4353.169921875,1753.7099609375,,,,,,,,,,,,,,,,-0.6
1970-01-01,4230.6298828125,1710.5,,,,,,,,,,,,,,,,-0.6
1970-01-01,4416.18017578125,1787.80004882812,,,,,,,,,,,,,,,,-0.6
1970-01-01,4391.10009765625,1786.68994140625,,,,,,,,,,,,,,,,-0.6
1970-01-01,4422.5,1803.16003417969,,,,,,,,,,,,,,,,-0.6
1970-01-01,4428.5,1808.61999511719,,,,,,,,,,,,,,,,-0.6
1970-01-01,4490.39990234375,1840.56005859375,,,,,,,,,,,,,,,,-0.6
1970-01-01,4595.39990234375,1885.66003417969,,,,,,,,,,,,,,,,-0.6
1970-01-01,4654.39990234375,1912.0,,,,,,,,,,,,,,,,-0.6
1970-01-01,4576.2001953125,1886.13000488281,,,,,,,,,,,,,,,,-0.6
1970-01-01,4498.7001953125,1866.31994628906,,,,,,,,,,,,,,,,-0.6
1970-01-01,4495.7998046875,1870.4599609375,,,,,,,,,,,,,,,,-0.6
1970-01-01,4431.2998046875,1855.60998535156,,,,,,,,,,,,,,,,-0.6
1970-01-01,4492.0,1880.7099609375,,,,,,,,,,,,,,,,-0.6
1970-01-01,4603.39990234375,1929.46997070312,,,,,,,,,,,,,,,,-0.6
1970-01-01,4829.89990234375,2032.17004394531,,,,,,,,,,,,,,,,-0.6
1970-01-01,4643.22998046875,1957.59997558594,,,,,,,,,,,,,,,,-0.6
1970-01-01,4656.7099609375,1965.52001953125,,,,,,,,,,,,,,,,-0.6
1970-01-01,4787.64990234375,2027.23999023438,,,,,,,,,,,,,,,,-0.6
1970-01-01,4861.47998046875,2060.85009765625,,,,,,,,,,,,,,,,-0.6
1970-01-01,5201.0,2206.38989257812,,,,,,,,,,,,,,,,-0.6
1970-01-01,5525.43017578125,2353.88989257812,,,,,,,,,,,,,,,,-0.6
1970-01-01,5610.7998046875,2397.669921875,,,,,,,,,,,,,,,,-0.6
1970-01-01,5901.41015625,2525.43994140625,,,,,,,,,,,,,,,,-0.6
1970-01-01,5503.7998046875,2363.30004882812,,,,,,,,,,,,,,,,-0.6
1970-01-01,5482.7001953125,2358.38989257812,,,,,,,,,,,,,,,,-0.6
1970-01-01,4786.240234375,2062.03002929688,,,,,,,,,,,,,,,,-0.6
1970-01-01,4544.16015625,1964.98999023438,,,,,,,,,,,,,,,,-0.6
1970-01-01,4811.39990234375,2084.61010742188,,,,,,,,,,,,,,,,-0.6
1970-01-01,4901.66015625,2127.80004882812,,,,,,,,,,,,,,,,-0.6
1970-01-01,4854.72998046875,2111.92993164062,,,,,,,,,,,,,,,,-0.6
1970-01-01,5024.16015625,2187.14990234375,,,,,,,,,,,,,,,,-0.6
1970-01-01,5248.31005859375,2287.98999023438,,,,,,,,,,,,,,,,-0.6
1970-01-01,5475.2001953125,2400.84008789062,,,,,,,,,,,,,,,,-0.6
1970-01-01,5849.58984375,2571.2900390625,,,,,,,,,,,,,,,,-0.6
1970-01-01,5639.10009765625,2484.76000976562,,,,,,,,,,,,,,,,-0.6
1970-01-01,5858.2001953125,2590.36010742188,,,,,,,,,,,,,,,,-0.6
1970-01-01,5969.52001953125,2642.89990234375,,,,,,,,,,,,,,,,-0.6
1970-01-01,6017.91015625,2669.32006835938,,,,,,,,,,,,,,,,-0.6
1970-01-01,5687.10986328125,2529.65991210938,,,,,,,,,,,,,,,,-0.6
1970-01-01,5622.31982421875,2504.86010742188,,,,,,,,,,,,,,,,-0.6
1970-01-01,6194.759765625,2764.34008789062,,,,,,,,,,,,,,,,-0.6
1970-01-01,6444.8701171875,2880.419921875,,,,,,,,,,,,,,,,-0.6
1970-01-01,6181.02001953125,2764.9599609375,,,,,,,,,,,,,,,,-0.6
1970-01-01,6451.18994140625,2888.07006835938,,,,,,,,,,,,,,,,-0.6
1970-01-01,6475.14013671875,2907.0400390625,,,,,,,,,,,,,,,,-0.6
1970-01-01,6194.64013671875,2789.86010742188,,,,,,,,,,,,,,,,-0.6
1970-01-01,6227.81982421875,2813.22998046875,,,,,,,,,,,,,,,,-0.6
1970-01-01,6601.009765625,2986.35009765625,,,,,,,,,,,,,,,,-0.6
1970-01-01,6779.1298828125,3073.01000976562,,,,,,,,,,,,,,,,-0.6
1970-01-01,7057.7900390625,3205.580078125,,,,,,,,,,,,,,,,-0.6
1970-01-01,6676.89990234375,3040.0,,,,,,,,,,,,,,,,-0.6
1970-01-01,6629.31982421875,3025.0400390625,,,,,,,,,,,,,,,,-0.6
1970-01-01,6419.91015625,2932.7900390625,,,,,,,,,,,,,,,,-0.6
1970-01-01,6547.509765625,2995.27001953125,,,,,,,,,,,,,,,,-0.6
1970-01-01,6735.89990234375,3086.82006835938,,,,,,,,,,,,,,,,-0.6
1970-01-01,6649.490234375,3051.0,,,,,,,,,,,,,,,,-0.6
1970-01-01,6094.66015625,2802.94995117188,,,,,,,,,,,,,,,,-0.6
1970-01-01,6409.14990234375,2958.94995117188,,,,,,,,,,,,,,,,-0.6
1970-01-01,6571.1201171875,3044.31005859375,,,,,,,,,,,,,,,,-0.6
1970-01-01,6298.93994140625,2925.88989257812,,,,,,,,,,,,,,,,-0.6
1970-01-01,6082.22021484375,2830.64990234375,,,,,,,,,,,,,,,,-0.6
1970-01-01,6116.2998046875,2851.96997070312,,,,,,,,,,,,,,,,-0.6
1970-01-01,5118.580078125,2396.73999023438,,,,,,,,,,,,,,,,-0.6
1970-01-01,5364.77001953125,2517.8798828125,,,,,,,,,,,,,,,,-0.6
1970-01-01,5849.47021484375,2748.76000976562,,,,,,,,,,,,,,,,-0.6
1970-01-01,5939.14013671875,2794.52001953125,,,,,,,,,,,,,,,,-0.6
1970-01-01,5849.2001953125,2755.96997070312,,,,,,,,,,,,,,,,-0.6
1970-01-01,5834.0,2750.86010742188,,,,,,,,,,,,,,,,-0.6
1970-01-01,6175.4501953125,2920.85009765625,,,,,,,,,,,,,,,,-0.6
1970-01-01,6123.7099609375,2906.46997070312,,,,,,,,,,,,,,,,-0.6
1970-01-01,6049.0498046875,2881.23999023438,,,,,,,,,,,,,,,,-0.6
1970-01-01,5496.64013671875,2624.28002929688,,,,,,,,,,,,,,,,-0.6
1970-01-01,4783.6298828125,2290.80004882812,,,,,,,,,,,,,,,,-0.6
1970-01-01,4858.81982421875,2331.9599609375,,,,,,,,,,,,,,,,-0.6
1970-01-01,4287.08984375,2066.25,,,,,,,,,,,,,,,,-0.6
1970-01-01,4417.7099609375,2134.8798828125,,,,,,,,,,,,,,,,-0.6
1970-01-01,4558.22021484375,2206.21997070312,,,,,,,,,,,,,,,,-0.6
1970-01-01,4319.35009765625,2094.71997070312,,,,,,,,,,,,,,,,-0.6
1970-01-01,4016.43994140625,1952.58996582031,,,,,,,,,,,,,,,,-0.6
