Date,Price,"Total Return (Gross, Unhedged)"
1998-06-01,101.43337,100.0
1998-07-01,102.38426,100.665
1998-08-01,102.724594,101.796
1998-09-01,102.841484,102.608
1998-10-01,102.78803,103.335
1998-11-01,103.0917,104.005
1998-12-01,103.92665,104.919
1999-01-01,103.78921,105.479
1999-02-01,103.679825,105.817
1999-03-01,104.70138,106.556
1999-04-01,104.07076,106.644
1999-05-01,103.82355,107.069
1999-06-01,103.71424,107.597
1999-07-01,103.095314,107.692
1999-08-01,103.67859,108.23
1999-09-01,102.97956,108.302
1999-10-01,102.67129,108.751
1999-11-01,102.02272,109.166
1999-12-01,101.629265,109.511
2000-01-01,101.37592,110.006
2000-02-01,101.30736,110.651
2000-03-01,101.37081,111.273
2000-04-01,101.41105,112.007
2000-05-01,101.20181,112.603
2000-06-01,101.29519,113.295
2000-07-01,101.227325,113.864
2000-08-01,101.94891,114.429
2000-09-01,102.01349,115.196
2000-10-01,101.92315,115.865
2000-11-01,102.007706,116.689
2000-12-01,102.029724,117.433
2001-01-01,102.52597,118.117
2001-02-01,102.74792,118.64
2001-03-01,102.70923,119.314
2001-04-01,102.4907,119.809
2001-05-01,102.21402,120.24
2001-06-01,101.79546,120.458
2001-07-01,102.44242,121.387
2001-08-01,102.444984,122.152
2001-09-01,102.53494,122.948
2001-10-01,102.8673,123.748
2001-11-01,104.015785,124.043
2001-12-01,103.29823,124.095
2002-01-01,103.11999,124.671
2002-02-01,102.935776,125.166
2002-03-01,102.357414,125.194
2002-04-01,102.342316,126.025
2002-05-01,101.981155,126.393
2002-06-01,101.91677,126.915
2002-07-01,102.475235,128.186
2002-08-01,102.329605,128.727
2002-09-01,103.09084,129.602
2002-10-01,102.6984,129.816
2002-11-01,102.13649,129.776
2002-12-01,102.85248,130.691
2003-01-01,102.71205,131.234
2003-02-01,102.81508,132.015
2003-03-01,102.46974,132.3
2003-04-01,103.333115,132.673
2003-05-01,103.101845,133.111
2003-06-01,103.632225,133.456
2003-07-01,103.15336,133.585
2003-08-01,102.66435,133.654
2003-09-01,102.66192,134.145
2003-10-01,102.08308,134.125
2003-11-01,101.8941,134.536
2003-12-01,104.46282,135.092
2004-01-01,104.09118,135.389
2004-02-01,103.992424,135.986
2004-03-01,103.59289,136.325
2004-04-01,103.209625,136.61
2004-05-01,102.726,136.714
2004-06-01,103.52217,137.477
2004-07-01,103.14588,137.862
2004-08-01,103.04334,138.667
2004-09-01,103.31298,139.318
2004-10-01,103.077705,139.858
2004-11-01,103.91871,140.599
2004-12-01,104.31251,141.062
2005-01-01,103.93791,141.492
2005-02-01,103.414925,141.633
2005-03-01,102.49772,142.293
2005-04-01,102.49967,143.044
2005-05-01,102.61066,144.011
2005-06-01,102.64516,144.843
2005-07-01,102.30975,145.131
2005-08-01,102.78435,145.779
2005-09-01,102.47778,146.159
2005-10-01,102.166855,146.551
2005-11-01,102.54778,147.098
2005-12-01,102.48323,147.778
2006-01-01,102.92639,148.1
2006-02-01,102.72512,148.554
2006-03-01,102.050575,148.911
2006-04-01,101.753395,149.181
2006-05-01,101.51468,149.66
2006-06-01,101.32351,150.138
2006-07-01,101.23216,150.788
2006-08-01,101.022,151.167
2006-09-01,100.87247,151.678
2006-10-01,100.750046,152.217
2006-11-01,100.82877,152.84
2006-12-01,100.63029,153.247
2007-01-01,100.36522,153.655
2007-02-01,100.58592,154.425
2007-03-01,100.42245,154.981
