Date,Price,"Total Return (Gross, Unhedged)"
1996-12-01,106.49,343.756
1997-01-01,105.41,347.208
1997-02-01,107.23,354.659
1997-03-01,104.107,346.213
1997-04-01,105.982,353.532
1997-05-01,109.01597,365.17
1997-06-01,110.84,371.392
1997-07-01,113.238,380.896
1997-08-01,112.09064,378.404
1997-09-01,117.084,398.42
1997-10-01,117.53999,401.686
1997-11-01,118.37628,406.613
1997-12-01,120.841,415.209
1998-01-01,123.35627,426.341
1998-02-01,122.77834,427.959
1998-03-01,125.444,439.238
1998-04-01,126.155,442.946
1998-05-01,127.178,450.842
1998-06-01,126.149,452.729
1998-07-01,125.936,457.394
1998-08-01,130.753,476.442
1998-09-01,136.942,500.948
1998-10-01,134.06651,491.636
1998-11-01,138.765,516.162
1998-12-01,141.293,529.156
1999-01-01,143.40013,538.629
1999-02-01,137.8075,520.579
1999-03-01,138.34909,524.119
1999-04-01,137.93509,522.552
1999-05-01,132.7039,511.479
1999-06-01,132.86292,513.81
1999-07-01,130.75848,508.289
1999-08-01,133.3304,520.773
1999-09-01,127.78321,503.764
1999-10-01,132.17169,521.066
1999-11-01,132.98755,533.821
1999-12-01,133.51042,522.111
2000-01-01,129.31834,514.042
2000-02-01,131.6373,526.374
2000-03-01,132.73299,533.309
2000-04-01,133.73012,539.614
2000-05-01,132.50777,542.036
2000-06-01,130.6579,540.946
2000-07-01,129.76228,539.898
2000-08-01,128.08159,535.605
2000-09-01,128.31389,539.028
2000-10-01,128.26836,545.619
2000-11-01,132.508,564.054
2000-12-01,132.30225,565.672
2001-01-01,130.68076,566.91
2001-02-01,130.09293,566.793
2001-03-01,128.06467,560.644
2001-04-01,122.69614,543.933
2001-05-01,120.36007,539.623
2001-06-01,119.79484,539.628
2001-07-01,119.339,557.503
2001-08-01,121.265205,568.992
2001-09-01,119.47114,563.013
2001-10-01,124.46767,591.601
2001-11-01,122.94872,587.019
2001-12-01,117.76759,567.65
2002-01-01,119.796646,579.994
2002-02-01,117.923836,573.442
2002-03-01,113.85201,556.253
2002-04-01,117.3043,563.519
2002-05-01,116.07845,560.449
2002-06-01,120.06017,582.093
2002-07-01,119.57418,588.869
2002-08-01,123.64447,611.319
2002-09-01,126.16489,625.149
2002-10-01,122.80745,614.92
2002-11-01,120.82335,607.724
2002-12-01,123.501434,626.924
2003-01-01,124.906876,636.799
2003-02-01,124.533966,637.456
2003-03-01,121.807816,630.922
2003-04-01,120.3147,628.378
2003-05-01,123.77272,648.875
2003-06-01,120.46145,640.077
2003-07-01,115.99542,622.641
2003-08-01,116.572014,628.327
2003-09-01,115.078064,634.722
2003-10-01,111.217224,616.448
2003-11-01,110.82537,616.829
2003-12-01,112.71776,635.289
2004-01-01,111.93121,633.626
2004-02-01,112.70971,640.521
2004-03-01,113.068886,646.884
2004-04-01,110.07815,634.158
2004-05-01,108.732895,629.082
2004-06-01,108.88464,636.045
2004-07-01,109.16447,640.431
2004-08-01,110.76886,653.7
2004-09-01,112.37634,660.104
2004-10-01,113.28335,668.091
2004-11-01,114.30124,680.034
2004-12-01,114.625626,686.066
2005-01-01,113.543526,682.766
2005-02-01,112.62121,680.945
2005-03-01,111.9772,681.577
2005-04-01,113.86627,695.707
2005-05-01,115.32509,710.44
2005-06-01,117.06441,725.548
2005-07-01,115.02399,715.778
2005-08-01,116.624504,730.389
2005-09-01,116.31646,726.807
2005-10-01,115.64722,727.945
2005-11-01,117.36638,741.502
2005-12-01,119.34016,756.875
2006-01-01,119.64615,770.163
2006-02-01,119.06117,770.039
2006-03-01,114.81997,748.604
2006-04-01,111.45649,729.584
2006-05-01,111.58471,737.775
2006-06-01,109.73619,729.793
2006-07-01,111.319305,744.141
2006-08-01,112.47008,756.706
2006-09-01,112.67609,760.895
2006-10-01,114.523384,772.355
2006-11-01,113.761635,771.002
2006-12-01,110.95712,754.927
2007-01-01,107.602554,738.267
2007-02-01,109.68411,755.904
2007-03-01,107.05312,740.869
2007-04-01,105.5051,735.322
2007-05-01,103.27125,724.787
2007-06-01,100.58714,708.913
2007-07-01,103.67122,734.484
2007-08-01,103.7479,747.56
2007-09-01,102.42141,740.821
2007-10-01,103.17722,750.018
2007-11-01,104.51382,762.927
2007-12-01,106.64122,781.852
2008-01-01,106.20172,781.964
2008-02-01,105.680695,781.502
2008-03-01,105.60481,784.1
2008-04-01,103.3804,771.036
2008-05-01,101.11185,757.38
2008-06-01,99.77698,750.787
2008-07-01,102.536644,774.782
2008-08-01,104.649086,793.522
2008-09-01,102.993454,785.806
2008-10-01,101.75544,780.183
2008-11-01,107.80217,828.658
2008-12-01,115.39186,891.7
2009-01-01,105.12769,815.933
2009-02-01,106.431915,829.209
2009-03-01,109.98105,862.842
2009-04-01,106.83818,842.242
2009-05-01,104.53157,827.349
2009-06-01,106.141235,846.433
2009-07-01,104.00171,834.287
2009-08-01,109.97877,886.471
2009-09-01,110.13824,888.809
2009-10-01,109.097084,883.669
2009-11-01,109.37534,893.244
2009-12-01,103.94314,852.958
2010-01-01,104.63938,861.743
2010-02-01,102.36277,846.554
2010-03-01,102.90348,858.232
2010-04-01,103.298744,865.198
2010-05-01,106.31999,893.138
2010-06-01,108.06175,912.659
2010-07-01,106.65607,904.114
2010-08-01,114.13597,973.571
2010-09-01,112.67015,963.052
2010-10-01,108.90249,934.346
2010-11-01,107.24398,925.047
2010-12-01,107.34376,929.659
2011-01-01,103.4618,900.126
2011-02-01,104.566154,913.122
2011-03-01,104.65645,918.048
2011-04-01,107.18843,943.254
2011-05-01,108.31852,957.444
2011-06-01,103.72315,940.373
2011-07-01,108.47109,986.298
2011-08-01,111.61473,1019.773
2011-09-01,117.130226,1071.144
2011-10-01,119.37241,1096.506
2011-11-01,124.602394,1147.547
2011-12-01,126.621254,1169.443
2012-01-01,126.47017,1173.88
2012-02-01,122.60885,1141.203
2012-03-01,120.08158,1121.172
2012-04-01,120.965034,1131.534
2012-05-01,129.15431,1210.195
2012-06-01,127.07659,1194.086
2012-07-01,129.89494,1230.145
2012-08-01,129.00613,1225.23
2012-09-01,126.917534,1208.695
2012-10-01,125.65753,1198.318
2012-11-01,127.22374,1217.273
2012-12-01,125.71309,1206.474
2013-01-01,120.80729,1163.064
2013-02-01,121.473724,1175.033
2013-03-01,124.635605,1208.725
2013-04-01,126.877975,1235.896
2013-05-01,120.77661,1182.303
2013-06-01,116.09044,1139.88
2013-07-01,116.03357,1150.174
2013-08-01,114.22445,1135.885
2013-09-01,115.720695,1152.187
2013-10-01,116.40683,1164.218
2013-11-01,114.064835,1144.516
2013-12-01,112.08736,1129.867
2014-01-01,115.224686,1166.027
2014-02-01,115.05001,1168.07
2014-03-01,114.70105,1169.523
2014-04-01,115.4666,1183.406
2014-05-01,116.84918,1201.024
2014-06-01,115.56791,1194.437
2014-07-01,117.3302,1217.767
2014-08-01,123.86974,1288.666
2014-09-01,122.507576,1272.871
2014-10-01,124.09905,1294.852
2014-11-01,130.36205,1362.908
2014-12-01,133.98698,1405.342
2015-01-01,144.5851,1519.523
2015-02-01,134.09322,1413.442
2015-03-01,138.21198,1458.339
2015-04-01,132.74652,1405.377
2015-05-01,133.13779,1413.025
2015-06-01,128.213791,1369.844
2015-07-01,131.549545,1409.641
2015-08-01,131.287369,1412.945
2015-09-01,134.09964,1438.146
2015-10-01,131.005692,1408.933
2015-11-01,132.437164,1431.588
2015-12-01,129.595734,1405.51
2016-01-01,136.815369,1486.937
2016-02-01,138.628494,1512.935
2016-03-01,138.389343,1514.184
2016-04-01,135.356476,1484.872
2016-05-01,138.449966,1531.358
2016-06-01,151.16243,1674.894
2016-07-01,155.975555,1731.567
2016-08-01,164.383575,1817.16
2016-09-01,156.819641,1741.377
2016-10-01,146.397385,1634.611
2016-11-01,142.232773,1595.18
2016-12-01,146.10202,1642.247
2017-01-01,140.654175,1594.952
2017-02-01,146.961166,1672.8
2017-03-01,147.070511,1683.372
2017-04-01,147.150467,1687.839
2017-05-01,147.020508,1701.001
2017-06-01,141.776138,1649.559
2017-07-01,142.222717,1653.992
2017-08-01,146.332016,1705.493
2017-09-01,140.522995,1641.781
2017-10-01,140.297852,1649.656
2017-11-01,140.72258,1658.414
2017-12-01,143.581848,1695.715
2018-01-01,139.517685,1646.14
2018-02-01,139.72998,1654.558
2018-03-01,144.438583,1713.728
2018-04-01,140.545486,1681.423
2018-05-01,143.248047,1725.268
2018-06-01,141.699966,1710.366
2018-07-01,140.047211,1701.486
2018-08-01,139.720184,1703.596
2018-09-01,135.907745,1660.851
2018-10-01,137.546082,1681.199
2018-11-01,133.482864,1637.676
2018-12-01,138.221954,1704.032
2019-01-01,140.442535,1736.987
2019-02-01,137.881042,1710.476
2019-03-01,144.773193,1799.315
2019-04-01,140.668823,1756.273
2019-05-01,146.00415,1830.772
2019-06-01,145.999573,1834.254
2019-07-01,149.283585,1890.661
2019-08-01,158.019363,2004.606
2019-09-01,158.260895,2020.41
2019-10-01,154.225327,1964.421
2019-11-01,152.056107,1940.643
2019-12-01,148.153107,1898.944
2020-01-01,156.120819,2007.454
2020-02-01,158.801712,2045.35
2020-03-01,161.890244,2090.455
2020-04-01,168.403976,2192.415
2020-05-01,167.746902,2187.582
2020-06-01,160.910385,2165.196
2020-07-01,160.245636,2176.406
2020-08-01,151.11824,2069.395
